The Oxford 3000™ (American English)

Index   English            Fr                            
[245]   beat               battre                        
[246]   beautiful          beau                          
[247]   beauty             beauté                        
[248]   because            parce que                     
[249]   become             devenir                       
[250]   bed                lit                           
[251]   bedroom            chambre à coucher             
[252]   bee                abeille                       
[253]   beef               bœuf                          
[254]   1                  1                             
[255]   before             avant                         
[256]   beg                mendier                       
[257]   begin              commencer                     
[258]   beginning          début                         
[259]   behave             se comporter                  
[260]   behavior           comportement                  
[261]   behind             derrière                      
[262]   being              être                          
[263]   belief             croyance                      
[264]   believe            croire                        
[265]   bell               cloche                        
[266]   belong             appartenir                    
[267]   below              ci-dessous                    
[268]   belt               ceinture                      
[269]   bend               plier                         
[270]   benefit            avantage                      
[271]   bent               courbé                        
[272]   best               meilleur                      
[273]   bet                pari                          
[274]   better             mieux                         
[275]   between            entre                         
[276]   beyond             au-delà                       
[277]   bicycle            vélo                          
[278]   big                grand                         
[279]   bike               vélo                          
[280]   bill               facture                       
[281]   billion            milliard                      
[282]   biology            biologie                      
[283]   bird               oiseau                        
[284]   birth              naissance                     
[285]   birthday           anniversaire                  
[286]   bit                peu                           
[287]   bite               mordre                        
[288]   bitter             amer                          
[289]   black              noir                          
[290]   blame              blâmer                        
[291]   blank              vide                          
[292]   blind              aveugle                       
[293]   block              bloc                          
[294]   blog               blog                          
[295]   blond              blond                         
[296]   blood              sang                          
[297]   blow               souffler                      
[298]   blue               bleu                          
[299]   board              conseil                       
[300]   boat               bateau                        
[301]   body               corps                         
[302]   boil               bouillir                      
[303]   bomb               bombe                         
[304]   bond               lier                          
[305]   bone               os                            
[306]   book               livre                         
[307]   boot               botte                         
[308]   border             frontière                     
[309]   bored              ennuyé                        
[310]   boring             ennuyeux                      
[311]   born               né                            
[312]   borrow             emprunter                     
[313]   boss               chef                          
[314]   both               les deux                      
[315]   bother             déranger                      
[316]   bottle             bouteille                     
[317]   bottom             bas                           
[318]   bowl               bol                           
[319]   box                boîte                         
[320]   boy                garçon                        
[321]   boyfriend          petit ami                     
[322]   brain              cerveau                       
[323]   branch             bifurquer                     
[324]   brand              marque                        
[325]   brave              courageux                     
[326]   bread              pain                          
[327]   break              casser                        
[328]   breakfast          petit-déjeuner                
[329]   breast             sein                          
[330]   breath             haleine                       
[331]   breathe            respirer                      
[332]   breathing          respiration                   
[333]   bride              mariée                        
[334]   bridge             pont                          
[335]   brief              bref                          
[336]   bright             brillant                      
[337]   brilliant          brillant                      
[338]   bring              apporter                      
[339]   broad              large                         
[340]   broadcast          diffuser                      
[341]   broken             cassé                         
[342]   brother            frère                         
[343]   brown              brun                          
[344]   brush              brosse                        
[345]   bubble             bulle                         
[346]   budget             budget                        
[347]   build              construire                    
[348]   building           bâtiment                      
[349]   bullet             balle                         
[350]   bunch              bouquet                       
[351]   burn               brûler                        
[352]   bury               enterrer                      
[353]   bus                bus                           
[354]   bush               buisson                       
[355]   business           entreprise                    
[356]   businessman        homme d'affaires              
[357]   busy               occupé                        
[358]   but                mais                          
[359]   butter             beurre                        
[360]   button             bouton                        
[361]   buy                acheter                       
[362]   by                 par                           
[363]   bye                au revoir                     
[364]   cable              câble                         
[365]   cafe               café                          
[366]   cake               gâteau                        
[367]   calculate          calculer                      
[368]   call               appel                         
[369]   calm               calme                         
[370]   camera             caméra                        
[371]   camp               camp                          
[372]   campaign           campagne                      
[373]   camping            camping                       
[374]   campus             campus                        
[375]   can                peut                          
[376]   can                peut                          
[377]   cancel             Annuler                       
[378]   cancer             cancer                        
[379]   candidate          candidat                      
[380]   candy              bonbons                       
[381]   cannot             ne peut pas                   
[382]   cap                capuchon                      
[383]   capable            capable                       
[384]   capacity           capacité                      
[385]   capital            capital                       
[386]   captain            capitaine                     
[387]   capture            capturer                      
[388]   car                voiture                       
[389]   card               carte                         
[390]   care               soins                         
[391]   career             carrière                      
[392]   careful            prudent                       
[393]   carefully          soigneusement                 
[394]   careless           imprudent                     
[395]   carpet             tapis                         
[396]   carrot             carotte                       
[397]   carry              porter                        
[398]   cartoon            dessin animé                  
[399]   case               cas                           
[400]   cash               espèces                       
[401]   cast               casting                       
[402]   cat                chat                          
[403]   catch              attraper                      
[404]   category           catégorie                     
[405]   cause              cause                         
[406]   CD                 CD                            
[407]   ceiling            plafond                       
[408]   celebrate          célébrer                      
[409]   celebration        célébration                   
[410]   celebrity          célébrité                     
[411]   cell               cellule                       
[412]   cent               cent                          
[413]   center             centre                        
[414]   central            central                       
[415]   century            siècle                        
[416]   ceremony           cérémonie                     
[417]   certain            certain                       
[418]   certainly          certainement                  
[419]   chain              chaîne                        
[420]   chair              chaise                        
[421]   chairman           président                     
[422]   challenge          défi                          
[423]   champion           champion                      
[424]   chance             chance                        
[425]   change             changement                    
[426]   channel            canal                         
[427]   chapter            chapitre                      
[428]   character          personnage                    
[429]   characteristic     caractéristiques              
[430]   charge             charge                        
[431]   charity            charité                       
[432]   chart              graphique                     
[433]   chat               chat                          
[434]   cheap              bon marché                    
[435]   cheat              tricher                       
[436]   check              vérifier                      
[437]   cheerful           joyeux                        
[438]   cheese             fromage                       
[439]   chef               cuisinier                     
[440]   chemical           chimique                      
[441]   chemistry          chimie                        
[442]   chest              poitrine                      
[443]   chicken            poulet                        
[444]   chief              chef                          
[445]   child              enfant                        
[446]   childhood          enfance                       
[447]   chip               ébrécher                      
[448]   chocolate          chocolat                      
[449]   choice             choix                         
[450]   choose             choisir                       
[451]   church             église                        
[452]   cigarette          cigarette                     
[453]   circle             cercle                        
[454]   circumstance       circonstance                  
[455]   cite               citer                         
[456]   citizen            citoyen                       
[457]   city               ville                         
[458]   civil              civil                         
[459]   claim              réclamer                      
[460]   class              classe                        
[461]   classic            classique                     
[462]   classical          classique                     
[463]   classroom          classe                        
[464]   clause             clause                        
[465]   clean              faire le ménage               
[466]   clear              clair                         
[467]   clearly            clairement                    
[468]   clerk              greffier                      
[469]   clever             intelligent                   
[470]   click              faire un clic                 
[471]   client             client                        
[472]   climate            climat                        
[473]   climb              grimper                       
[474]   clock              horloge                       
[475]   close              fermer                        
[476]   close              fermer                        
[477]   closed             fermé                         
[478]   closely            étroitement                   
[479]   closet             placard                       
[480]   cloth              tissu                         
[481]   clothes            vêtements                     
[482]   clothing           vêtements                     
[483]   cloud              nuage                         
[484]   club               club                          
[485]   clue               indice                        
[486]   coach              entraîneur                    
[487]   coal               charbon                       
[488]   coast              côte                          
[489]   coat               manteau                       
[490]   code               code                          
[491]   coffee             café                          
[492]   coin               pièce de monnaie              
[493]   cold               froid                         
[494]   collapse           effondrement                  
[495]   colleague          collègue                      
[496]   collect            collecter                     
[497]   collection         collection                    
[498]   college            collège                       
[499]   color              couleur                       
[500]   colored            coloré                        
[501]   column             colonne                       
[502]   combination        combinaison                   
[503]   combine            combiner                      
[504]   come               viens                         
[505]   comedy             comédie                       
[506]   comfort            confort                       
[507]   comfortable        confortable                   
[508]   command            commande                      
[509]   comment            commentaire                   
[510]   commercial         commercial                    
[511]   commission         commission                    
[512]   commit             commettre                     
[513]   commitment         engagement                    
[514]   committee          comité                        
[515]   common             commun                        
[516]   commonly           communément                   
[517]   communicate        communiquer                   
[518]   communication      communication                 
[519]   community          communauté                    
[520]   company            entreprise                    
[521]   compare            comparer                      
[522]   comparison         comparaison                   
[523]   compete            rivaliser                     
[524]   competition        concours                      
[525]   competitive        compétitif                    
[526]   competitor         concurrent                    
[527]   complain           se plaindre                   
[528]   complaint          plainte                       
[529]   complete           complet                       
[530]   completely         complètement                  
[531]   complex            complexe                      
[532]   complicated        compliqué                     
[533]   component          composant                     
[534]   computer           ordinateur                    
[535]   concentrate        se concentrer                 
[536]   concentration      concentration                 
[537]   concept            concept                       
[538]   concern            préoccupation                 
[539]   concerned          concerné                      
[540]   concert            concert                       
[541]   conclude           conclure                      
[542]   conclusion         conclusion                    
[543]   condition          condition                     
[544]   conduct            conduire                      
[545]   conference         conférence                    
[546]   confidence         confiance                     
[547]   confident          confiant                      
[548]   confirm            confirmer                     
[549]   conflict           conflit                       
[550]   confuse            embrouiller                   
[551]   confused           confus                        
[552]   confusing          déroutant                     
[553]   congress           congrès                       
[554]   connect            connecter                     
[555]   connected          connecté                      
[556]   connection         connexion                     
[557]   conscious          conscient                     
[558]   consequence        conséquence                   
[559]   conservative       conservateur                  
[560]   consider           considérer                    
[561]   consideration      considération                 
[562]   consist            consister                     
[563]   consistent         cohérent                      
[564]   constant           constante                     
[565]   constantly         en permanence                 
[566]   construct          construction                  
[567]   construction       construction                  
[568]   consume            consommer                     
[569]   consumer           consommateur                  
[570]   contact            contact                       
[571]   contain            contenir                      
[572]   container          récipient                     
[573]   contemporary       contemporain                  
[574]   content            contenu                       
[575]   contest            concours                      
[576]   context            contexte                      
[577]   continent          continent                     
[578]   continue           continuer                     
[579]   continuous         continu                       
[580]   contract           contracter                    
[581]   contrast           contraste                     
[582]   contribute         contribuer                    
[583]   contribution       contribution                  
[584]   control            contrôle                      
[585]   convenient         pratique                      
[586]   conversation       conversation                  
[587]   convert            convertir                     
[588]   convince           convaincre                    
[589]   convinced          convaincu                     
[590]   cook               cuisiner                      
[591]   cookie             cookie                        
[592]   cooking            cuisson                       
[593]   cool               cool                          
[594]   copy               copie                         
[595]   core               cœur                          
[596]   corn               maïs                          
[597]   corner             coin                          
[598]   corporate          corporatif                    
[599]   correct            correct                       
[600]   correctly          correctement                  
[601]   cost               coût                          
[602]   costume            costume                       
[603]   cotton             coton                         
[604]   could              pourrait                      
[605]   council            conseil                       
[606]   count              compter                       
[607]   country            pays                          
[608]   countryside        campagne                      
[609]   county             comté                         
[610]   couple             couple                        
[611]   courage            courage                       
[612]   course             cours                         
[613]   court              tribunal                      
[614]   cousin             cousin                        
[615]   cover              couverture                    
[616]   covered            couvert                       
[617]   cow                vache                         
[618]   crash              accident                      
[619]   crazy              fou                           
[620]   cream              crème                         
[621]   create             créer                         
[622]   creation           création                      
[623]   creative           créatif                       
[624]   creature           créature                      
[625]   credit             crédit                        
[626]   crew               équipage                      
[627]   crime              crime                         
[628]   criminal           criminel                      
[629]   crisis             crise                         
[630]   criterion          critère                       
[631]   critic             critique                      
[632]   critical           critique                      
[633]   criticism          critique                      
[634]   criticize          critiquer                     
[635]   crop               recadrer                      
[636]   cross              croix                         
[637]   crowd              foule                         
[638]   crowded            bondé                         
[639]   crucial            crucial                       
[640]   cruel              cruel                         
[641]   cry                pleurer                       
[642]   cultural           culturel                      
[643]   culture            culture                       
[644]   cup                tasse                         
[645]   cupboard           placard                       
[646]   cure               guérir                        
[647]   curly              bouclé                        
[648]   currency           devise                        
[649]   current            actuel                        
[650]   currently          actuellement                  
[651]   curtain            rideau                        
[652]   curve              courbe                        
[653]   curved             courbé                        
[654]   custom             coutume                       
[655]   customer           client                        
[656]   cut                couper                        
[657]   cycle              faire du vélo                 
[658]   dad                papa                          
[659]   daily              tous les jours                
[660]   damage             dommage                       
[661]   dance              danse                         
[662]   dancer             danseur                       
[663]   dancing            dansant                       
[664]   danger             danger                        
[665]   dangerous          dangereux                     
[666]   dark               sombre                        
[667]   data               données                       
[668]   date               date                          
[669]   daughter           fille                         
[670]   day                jour                          
[671]   dead               mort                          
[672]   deal               accord                        
[673]   dear               cher                          
[674]   death              la mort                       
[675]   debate             débat                         
[676]   debt               dette                         
[677]   decade             décennie                      
[678]   December           Décembre                      
[679]   decent             décent                        
[680]   decide             décider                       
[681]   decision           décision                      
[682]   declare            déclarer                      
[683]   decline            déclin                        
[684]   decorate           décorer                       
[685]   decoration         décoration                    
[686]   decrease           diminuer                      
[687]   deep               profond                       
[688]   deeply             profondément                  
[689]   defeat             défaite                       
[690]   defend             défendre                      
[691]   defense            défense                       
[692]   define             définir                       
[693]   definite           précis                        
[694]   definitely         certainement                  
[695]   definition         définition                    
[696]   degree             degré                         
[697]   delay              retard                        
[698]   deliberate         volontaire                    
[699]   deliberately       délibérément                  
[700]   delicious          délicieux                     
[701]   deliver            livrer                        
[702]   delivery           livraison                     
[703]   demand             demande                       
[704]   demonstrate        démontrer                     
[705]   dentist            dentiste                      
[706]   deny               refuser                       
[707]   department         département                   
[708]   departure          départ                        
[709]   depend             dépendre                      
[710]   depressed          déprimé                       
[711]   depressing         déprimant                     
[712]   depth              profondeur                    
[713]   describe           décrire                       
[714]   description        description                   
[715]   desert             désert                        
[716]   deserve            mériter                       
[717]   design             conception                    
[718]   designer           designer                      
[719]   desire             désir                         
[720]   desk               bureau                        
[721]   desperate          désespéré                     
[722]   despite            malgré                        
[723]   dessert            dessert                       
[724]   destination        destination                   
[725]   destroy            détruire                      
[726]   detail             détail                        
[727]   detailed           détaillé                      
[728]   detect             détecter                      
[729]   detective          détective                     
[730]   determine          déterminer                    
[731]   determined         déterminé                     
[732]   develop            développer                    
[733]   development        développement                 
[734]   device             appareil                      
[735]   diagram            diagramme                     
[736]   dialogue           dialogue                      
[737]   diamond            diamant                       
[738]   diary              agenda                        
[739]   dictionary         dictionnaire                  
[740]   die                mourir                        
[741]   diet               régime                        
[742]   difference         différence                    
[743]   different          différent                     
[744]   differently        différemment                  
[745]   difficult          difficile                     
[746]   difficulty         difficulté                    
[747]   dig                creuser                       
[748]   digital            numérique                     
[749]   dinner             dîner                         
[750]   direct             direct                        
[751]   direction          direction                     
[752]   directly           directement                   
[753]   director           directeur                     
[754]   dirt               saleté                        
[755]   dirty              sale                          
[756]   disadvantage       inconvénient                  
[757]   disagree           être en désaccord             
[758]   disappear          disparaître                   
[759]   disappointed       déçu                          
[760]   disappointing      décevant                      
[761]   disaster           catastrophe                   
[762]   discipline         discipline                    
[763]   discount           rabais                        
[764]   discover           découvrir                     
[765]   discovery          découverte                    
[766]   discuss            discuter                      
[767]   discussion         discussion                    
[768]   disease            maladie                       
[769]   dish               plat                          
[770]   dishonest          malhonnête                    
[771]   disk               disque                        
[772]   dislike            aversion                      
[773]   dismiss            rejeter                       
[774]   display            afficher                      
[775]   distance           distance                      
[776]   distribute         distribuer                    
[777]   distribution       distribution                  
[778]   district           district                      
[779]   divide             diviser                       
[780]   division           division                      
[781]   divorced           divorcé                       
[782]   do1                do1                           
[783]   doctor             médecin                       
[784]   document           document                      
[785]   documentary        documentaire                  
[786]   dog                chien                         
[787]   dollar             dollar                        
[788]   domestic           domestique                    
[789]   dominate           dominer                       
[790]   donate             faire un don                  
[791]   door               porte                         
[792]   double             double                        
[793]   doubt              doute                         
[794]   down               vers le bas                   
[795]   download           télécharger                   
[796]   downstairs         en bas                        
[797]   downtown           centre-ville                  
[798]   downward           vers le bas                   
[799]   dozen              douzaine                      
[800]   draft              brouillon                     
[801]   drag               traîner                       
[802]   drama              drame                         
[803]   dramatic           dramatique                    
[804]   draw               dessiner                      
[805]   drawing            dessin                        
[806]   dream              rêve                          
[807]   dress              robe                          
[808]   dressed            habillé                       
[809]   drink              boire                         
[810]   drive              conduire                      
[811]   driver             conducteur                    
[812]   driving            conduite                      
[813]   drop               baisse                        
[814]   drug               médicament                    
[815]   drum               tambour                       
[816]   drunk              ivre                          
[817]   dry                sec                           
[818]   due                exigible                      
[819]   during             pendant                       
[820]   dust               poussière                     
[821]   duty               devoir                        
[822]   DVD                DVD                           
[823]   each               chaque                        
[824]   ear                oreille                       
[825]   early              tôt                           
[826]   earn               gagner                        
[827]   earth              Terre                         
[828]   earthquake         tremblement de terre          
[829]   easily             facilement                    
[830]   east               est                           
[831]   eastern            est                           
[832]   easy               facile                        
[833]   eat                manger                        
[834]   economic           économique                    
[835]   economy            économie                      
[836]   edge               bord                          
[837]   edit               modifier                      
[838]   edition            édition                       
[839]   editor             éditeur                       
[840]   educate            éduquer                       
[841]   educated           éduqué                        
[842]   education          éducation                     
[843]   educational        pédagogique                   
[844]   effect             effet                         
[845]   effective          efficace                      
[846]   effectively        efficacement                  
[847]   efficient          efficace                      
[848]   effort             effort                        
[849]   egg                œuf                           
[850]   eight              huit                          
[851]   eighteen           dix-huit                      
[852]   eighty             quatre-vingts                 
[853]   either             soit                          
[854]   elderly            âgé                           
[855]   elect              élire                         
[856]   election           élection                      
[857]   electric           électrique                    
[858]   electrical         électrique                    
[859]   electricity        électricité                   
[860]   electronic         électronique                  
[861]   element            élément                       
[862]   elephant           éléphant                      
[863]   elevator           ascenseur                     
[864]   eleven             onze                          
[865]   else               autre                         
[866]   elsewhere          autre part                    
[867]   email              e-mail                        
[868]   embarrassed        gêné                          
[869]   embarrassing       embarrassant                  
[870]   emerge             émerger                       
[871]   emergency          urgence                       
[872]   emotion            émotion                       
[873]   emotional          émotionnel                    
[874]   emphasis           accent                        
[875]   emphasize          souligner                     
[876]   employ             employer                      
[877]   employee           employé                       
[878]   employer           employeur                     
[879]   employment         emploi                        
[880]   empty              vide                          
[881]   enable             activer                       
[882]   encounter          rencontre                     
[883]   encourage          encourager                    
[884]   end                fin                           
[885]   ending             fin                           
[886]   enemy              ennemi                        
[887]   energy             énergie                       
[888]   engage             s'engager                     
[889]   engaged            engagé                        
[890]   engine             moteur                        
[891]   engineer           ingénieur                     
[892]   engineering        ingénierie                    
[893]   enhance            améliorer                     
[894]   enjoy              apprécier                     
[895]   enormous           énorme                        
[896]   enough             assez                         
[897]   ensure             assurer                       
[898]   enter              entrer                        
[899]   entertain          divertir                      
[900]   entertainment      divertissement                
[901]   enthusiasm         enthousiasme                  
[902]   enthusiastic       enthousiaste                  
[903]   entire             entier                        
[904]   entirely           entièrement                   
[905]   entrance           entrée                        
[906]   entry              entrée                        
[907]   environment        environnement                 
[908]   environmental      environnement                 
[909]   episode            épisode                       
[910]   equal              égal                          
[911]   equally            également                     
[912]   equipment          équipement                    
[913]   error              erreur                        
[914]   escape             s'échapper                    
[915]   especially         en particulier                
[916]   essay              essai                         
[917]   essential          essentiel                     
[918]   establish          établir                       
[919]   estate             domaine                       
[920]   estimate           estimation                    
[921]   ethical            éthique                       
[922]   euro               euro                          
[923]   evaluate           évaluer                       
[924]   even               même                          
[925]   evening            soirée                        
[926]   event              événement                     
[927]   eventually         finalement                    
[928]   ever               jamais                        
[929]   every              chaque                        
[930]   everybody          tout le monde                 
[931]   everyday           tous les jours                
[932]   everyone           tout le monde                 
[933]   everything         tout                          
[934]   everywhere         partout                       
[935]   evidence           preuve                        
[936]   evil               mal                           
[937]   exact              exact                         
[938]   exactly            exactement                    
[939]   exam               examen                        
[940]   examination        examen                        
[941]   examine            examiner                      
[942]   example            exemple                       
[943]   excellent          excellent                     
[944]   except             sauf                          
[945]   exchange           échange                       
[946]   excited            excité                        
[947]   excitement         excitation                    
[948]   exciting           passionnant                   
[949]   excuse             excuse                        
[950]   executive          exécutif                      
[951]   exercise           exercice                      
[952]   exhibit            exposition                    
[953]   exhibition         exposition                    
[954]   exist              exister                       
[955]   existence          existence                     
[956]   exit               sortie                        
[957]   expand             développer                    
[958]   expect             attendre                      
[959]   expectation        attente                       
[960]   expected           attendu                       
[961]   expense            frais                         
[962]   expensive          cher                          
[963]   experience         expérience                    
[964]   experienced        expérimenté                   
[965]   experiment         expérience                    
[966]   expert             expert                        
[967]   explain            expliquer                     
[968]   explanation        explication                   
[969]   explode            exploser                      
[970]   exploration        exploration                   
[971]   explore            explorer                      
[972]   explosion          explosion                     
[973]   export             exporter                      
[974]   expose             exposer                       
[975]   express            exprimer                      
[976]   expression         expression                    
[977]   extend             étendre                       
[978]   extent             étendue                       
[979]   external           externe                       
[980]   extra              supplémentaire                
[981]   extraordinary      extraordinaire                
[982]   extreme            extrême                       
[983]   extremely          extrêmement                   
[984]   eye                œil                           
[985]   face               affronter                     
[986]   facility           facilité                      
[987]   fact               fait                          
[988]   factor             facteur                       
[989]   factory            usine                         
[990]   fail               échouer                       
[991]   failure            échec                         
[992]   fair               équitable                     
[993]   fairly             assez                         
[994]   faith              foi                           
[995]   fall               automne                       
[996]   false              FAUX                          
[997]   familiar           familier                      
[998]   family             famille                       
[999]   famous             célèbre                       
[1000]  fan                ventilateur                   
[1001]  fancy              fantaisie                     
[1002]  fantastic          fantastique                   
[1003]  far                loin                          
[1004]  farm               ferme                         
[1005]  farmer             fermier                       
[1006]  farming            agriculture                   
[1007]  fascinating        fascinant                     
[1008]  fashion            mode                          
[1009]  fashionable        à la mode                     
[1010]  fast               rapide                        
[1011]  fasten             fixer                         
[1012]  fat                graisse                       
[1013]  father             père                          
[1014]  fault              faute                         
[1015]  favor              service                       
[1016]  favorite           préféré                       
[1017]  fear               peur                          
[1018]  feather            plume                         
[1019]  feature            fonctionnalité                
[1020]  February           Février                       
[1021]  federal            fédéral                       
[1022]  fee                frais                         
[1023]  feed               alimentation                  
[1024]  feedback           retour                        
[1025]  feel               sentir                        
[1026]  feeling            sentiment                     
[1027]  fellow             compagnon                     
[1028]  female             femelle                       
[1029]  fence              clôture                       
[1030]  festival           festival                      
[1031]  fever              fièvre                        
[1032]  few                peu                           
[1033]  fiction            fiction                       
[1034]  field              champ                         
[1035]  fifteen            quinze                        
[1036]  fifth              cinquième                     
[1037]  fifty              cinquante                     
[1038]  fight              lutte                         
[1039]  fighting           lutte                         
[1040]  figure             chiffre                       
[1041]  file               déposer                       
[1042]  fill               remplir                       
[1043]  film               film                          
[1044]  final              final                         
[1045]  finally            enfin                         
[1046]  finance            finance                       
[1047]  financial          financier                     
[1048]  find               trouver                       
[1049]  finding            constatation                  
[1050]  fine               bien                          
[1051]  finger             doigt                         
[1052]  finish             finition                      
